bc12-archive-bypass--case-bc12-archive-bypass	obs-001	surface	placement	completeness	complete
bc12-archive-bypass--case-bc12-archive-bypass	obs-002	decision	r-unverified	after	retain
bc12-archive-bypass--case-bc12-archive-bypass	obs-003	decision	r-unverified	blocker	archive-unverified
bc12-archive-bypass--case-bc12-archive-bypass	obs-004	archive	r-unverified	state	unverified
bc12-archive-bypass--case-bc12-archive-bypass	obs-005	inventory	r-unverified	canonical-present	1
bc12-canonical-unchanged--case-bc12-canonical-unchanged	obs-001	surface	placement	completeness	complete
bc12-canonical-unchanged--case-bc12-canonical-unchanged	obs-002	inventory	before	canonical-digest	digest-canonical-1
bc12-canonical-unchanged--case-bc12-canonical-unchanged	obs-003	inventory	after	canonical-digest	digest-canonical-1
bc12-canonical-unchanged--case-bc12-canonical-unchanged	obs-004	inventory	comparison	symmetric-difference	0
bc12-canonical-unchanged--case-bc12-canonical-unchanged	obs-005	inventory	r-forgotten	canonical-present	1
bc12-decision-provenance--case-bc12-decision-provenance	obs-001	surface	placement	completeness	complete
bc12-decision-provenance--case-bc12-decision-provenance	obs-002	decision	r-forgotten	after	release-eligible
bc12-decision-provenance--case-bc12-decision-provenance	obs-003	decision	r-forgotten	blocker	-
bc12-decision-provenance--case-bc12-decision-provenance	obs-004	provenance	r-forgotten	forget	forget-root
bc12-decision-provenance--case-bc12-decision-provenance	obs-005	provenance	r-forgotten	archive	archive-forgotten
bc12-decision-provenance--case-bc12-decision-provenance	obs-006	provenance	r-forgotten	policy-phase	after
bc12-decision-provenance--case-bc12-decision-provenance	obs-007	decision	r-conflict	after	retain
bc12-decision-provenance--case-bc12-decision-provenance	obs-008	provenance	r-conflict	conflict	conflict-1
bc12-decision-provenance--case-bc12-decision-provenance	obs-009	decision	r-inflight	after	retain
bc12-decision-provenance--case-bc12-decision-provenance	obs-010	provenance	r-inflight	publication	publication-1
bc12-derived-protection--case-bc12-derived-protection	obs-001	surface	placement	completeness	complete
bc12-derived-protection--case-bc12-derived-protection	obs-002	protection	r-audit	audit_hold	witness:w-audit
bc12-derived-protection--case-bc12-derived-protection	obs-003	protection	r-backup	backup_hold	witness:w-backup
bc12-derived-protection--case-bc12-derived-protection	obs-004	protection	r-conflict	unresolved-conflict	conflict:conflict-1
bc12-derived-protection--case-bc12-derived-protection	obs-005	protection	r-current	current	witness:w-current
bc12-derived-protection--case-bc12-derived-protection	obs-006	protection	r-inflight	pending-publication	publication:publication-1
bc12-derived-protection--case-bc12-derived-protection	obs-007	protection	r-pin	pinned	witness:w-pin
bc12-derived-protection--case-bc12-derived-protection	obs-008	protection	r-read	read_grace	witness:w-read
bc12-eligibility-delete--case-bc12-eligibility-delete	obs-001	surface	placement	completeness	complete
bc12-eligibility-delete--case-bc12-eligibility-delete	obs-002	decision	r-forgotten	after	release-eligible
bc12-eligibility-delete--case-bc12-eligibility-delete	obs-003	inventory	r-forgotten	canonical-present	1
bc12-eligibility-delete--case-bc12-eligibility-delete	obs-004	inventory	comparison	symmetric-difference	0
bc12-forget-bypass--case-bc12-forget-bypass	obs-001	surface	placement	completeness	complete
bc12-forget-bypass--case-bc12-forget-bypass	obs-002	forget	forget-root	status	rejected
bc12-forget-bypass--case-bc12-forget-bypass	obs-003	archive	r-forgotten	state	verified
