PI-N01	static-runtime	adapter-source	reachable-adapter-branch-reads-sqlite	direct-positive-flow-green	mutant-branch-invoked-by-positive-case	static-boundary-gate	ADAPTER_BACKEND_SCHEMA_COUPLING	nonzero	private-and-public-repositories-unchanged
PI-N02	static-runtime	adapter-source	reachable-adapter-branch-signs-token	direct-positive-flow-green	mutant-branch-invoked-by-positive-case	static-ownership-gate	ADAPTER_OWNS_TOKEN	nonzero	private-and-public-repositories-unchanged
PI-N03	contract-runtime	backend-request	add-raw-oidc-field	positive-provider-request-green	mutated-request-reaches-provider	contract-vocabulary-gate	PROTOCOL_LEAKS_INTO_CORE	nonzero	provider-state-unchanged
PI-N04	runtime	backend-resolver	replace-pinned-root-with-ambient-current	pinned-and-current-roots-available	mutated-resolver-reaches-evaluation	pin-gate	AMBIENT_ROOT_SUBSTITUTION	nonzero	source-state-unchanged
PI-N05	runtime	subject-mapper	change-sub-on-context-only-change	both-contexts-evaluate-green	mutated-context-b-flow-reaches-subject-mapper	subject-stability-gate	SUBJECT_INSTABILITY	nonzero	no-token-issued-for-mutant
PI-N06	runtime	credential-verifier	accept-wrong-proof	valid-proof-case-green	wrong-proof-case-invokes-mutated-comparison	credential-gate	INVALID_PROOF_ACCEPTED	nonzero	repository-state-unchanged
PI-N07	runtime-safety	projection-and-logs	emit-non-selected-secret	accepted-projection-green	mutated-output-reaches-scanned-surface	non-leakage-gate	PROTOCOL_SECRET_LEAK	nonzero	no-secret-in-retained-positive-evidence
PI-N08	runtime	ordinary-evaluator	write-repository-state-on-login	accepted-ordinary-read-green	mutated-write-counter-is-observed	pure-read-gate	LOGIN_READ_WRITES_STATE	nonzero	state-write-isolated-to-mutant
PI-N09	runtime	engine-decoy-state	override-credential-account-with-decoy	forced-reauth-positive-green	mutated-decoy-reaches-adapter	engine-override-gate	ENGINE_USER_OVERRIDE	nonzero	no-token-issued-for-mutant
PI-N10	prose	public-readme	claim-production-or-oidc-certified	roadmap-candidate-green	mutated-exact-roadmap-paragraph-is-built	public-claim-gate	PUBLIC_OVERCLAIM	nonzero	public-sibling-and-remote-unchanged
PI-N11	prose	public-readme	claim-current-rust-implementation	roadmap-candidate-green	mutated-exact-roadmap-paragraph-is-built	public-claim-gate	RUST_EXISTENCE_OVERCLAIM	nonzero	public-sibling-and-remote-unchanged
PI-N12	workflow	isolated-promotion-repo	treat-roadmap-acceptance-as-push-authorization	roadmap-candidate-green	isolated-public-remote-receives-attempt	promotion-state-gate	PROMOTION_STATE_COLLAPSE	nonzero	real-public-sibling-remote-and-credentials-unchanged
PI-N13	runtime	adapter-mapping	change-oidc-projection-only	direct-and-oidc-positive-green	mutated-oidc-path-reaches-comparison	path-equivalence-gate	PROTOCOL_PATH_SEMANTIC_DRIFT	nonzero	direct-result-unchanged
PI-N14	static-runtime	provider-b	invoke-sqlite-or-provider-a	both-providers-positive-green	mutated-provider-b-branch-invoked	provider-independence-gate	NON_SQLITE_PROVIDER_USES_SQLITE	nonzero	provider-a-state-unchanged
PI-N15	static-runtime	adapter	branch-semantics-on-provider-id	both-providers-positive-green	both-provider-selections-reach-mutated-branch	adapter-identity-gate	PROVIDER_SPECIFIC_ADAPTER_BRANCH	nonzero	provider-artifacts-unchanged
PI-N16	runtime	subject-mapper	reassign-or-collide-subject	all-subject-tuples-green	distinct-account-or-sector-reaches-mutant	subject-uniqueness-gate	SUBJECT_COLLISION_OR_REASSIGNMENT	nonzero	no-token-issued-for-mutant
PI-N17	runtime	ordinary-evaluator	persist-ephemeral-outcome	accepted-ordinary-read-green	mutated-result-counter-is-observed	outcome-persistence-gate	OUTCOME_RESULT_COLLAPSE	nonzero	repository-state-and-observation-counts-zero
PI-N18	harness	expected-oracle	regenerate-expected-from-sut	baseline-oracle-preexists	mutated-generation-command-is-invoked	oracle-independence-gate	ORACLE_DERIVED_FROM_SUT	nonzero	original-expected-bytes-unchanged
PI-N19	contract-runtime	adapter-mapping	copy-raw-value-under-renamed-field	positive-mapping-green	mutated-alias-reaches-backend-request	raw-value-gate	RAW_PROTOCOL_VALUE_ALIAS	nonzero	canonical-source-and-backend-log-clean
