harness-bc05-noop	harness-mutant	missing-action-receipt	BC05_SUT_ACTION_MISSING
harness-bc05-observer-synthesis	observer-mutant	normalized-without-raw	BC05_COVERAGE_INVALID
harness-bc05-raw-post-seal-tamper	evidence-mutant	raw-post-seal-tamper	BC05_RAW_SEAL_INVALID
neg-bc05-ambient-advance	counterfactual	detect-ambient-closure-substitution	BC05_AMBIENT_ADVANCE_DETECTED
neg-bc05-binding-omission	counterfactual	detect-binding-omission	BC05_BINDING_OMISSION_DETECTED
neg-bc05-complete-closure	sut-mutant	detect-incomplete-closure-success	BC05_INCOMPLETE_CLOSURE_ACCEPTED
neg-bc05-definition-omission	counterfactual	detect-definition-omission	BC05_DEFINITION_OMISSION_DETECTED
neg-bc05-missing-as-empty	counterfactual	detect-missing-as-empty	BC05_MISSING_AS_EMPTY_DETECTED
neg-bc05-pinned-knowledge-cut	sut-mutant	detect-knowledge-cut-drift	BC05_KNOWLEDGE_CUT_DRIFT_DETECTED
neg-bc05-root-omission	counterfactual	detect-root-omission	BC05_ROOT_OMISSION_DETECTED
neg-bc05-semantics-omission	counterfactual	detect-semantics-omission	BC05_SEMANTICS_OMISSION_DETECTED
neg-bc05-transitive-omission	counterfactual	detect-transitive-omission	BC05_TRANSITIVE_OMISSION_DETECTED
